lema,zipf,rareza,categoria_provisional,silabas,acentuacion
de,7.81,comun,,1,aguda
que,7.52,comun,,1,aguda
el,7.45,comun,,1,aguda
en,7.45,comun,,1,aguda
y,7.44,comun,,1,aguda
a,7.36,comun,,1,aguda
no,7.16,comun,,1,aguda
por,7.04,comun,,1,aguda
del,7.01,comun,,1,aguda
con,6.97,comun,,1,aguda
para,6.92,comun,,2,llana
su,6.78,comun,,1,aguda
al,6.74,comun,,1,aguda
como,6.73,comun,,2,llana
más,6.63,comun,,1,aguda
pero,6.57,comun,,2,llana
o,6.51,comun,,1,aguda
mi,6.43,comun,,1,aguda
este,6.37,comun,,2,llana
todo,6.35,comun,,2,llana
ya,6.33,comun,,1,aguda
cuando,6.29,comun,,2,llana
yo,6.29,comun,,1,aguda
ser,6.27,comun,,1,aguda
son,6.26,comun,,1,aguda
sin,6.24,comun,,1,aguda
tu,6.22,comun,,1,aguda
sobre,6.19,comun,,2,llana
también,6.19,comun,,2,aguda
nos,6.14,comun,,1,aguda
porque,6.14,comun,,2,llana
qué,6.13,comun,,1,aguda
así,6.12,comun,,2,aguda
dos,6.12,comun,,1,aguda
bien,6.11,comun,,1,aguda
entre,6.11,comun,,2,llana
desde,6.1,comun,,2,llana
hasta,6.09,comun,,2,llana
hacer,6.07,comun,verbo,2,aguda
ahora,6.05,comun,,3,llana
vez,6.04,comun,,1,aguda
nada,6.02,comun,,2,llana
ni,6.02,comun,,1,aguda
donde,6.01,comun,,2,llana
parte,6.0,comun,,2,llana
solo,6.0,comun,,2,llana
algo,5.99,comun,,2,llana
tiempo,5.97,comun,,2,llana
día,5.96,comun,,2,llana
uno,5.96,comun,,2,llana
mejor,5.95,comun,,2,aguda
mucho,5.95,comun,,2,llana
tan,5.95,comun,,1,aguda
ver,5.95,comun,,1,aguda
vida,5.95,comun,,2,llana
e,5.93,comun,,1,aguda
ese,5.93,comun,,2,llana
mismo,5.93,comun,,2,llana
siempre,5.93,comun,,2,llana
cada,5.9,comun,,2,llana
después,5.9,comun,,2,aguda
gente,5.9,comun,,2,llana
estado,5.89,comun,,3,llana
mundo,5.89,comun,,2,llana
año,5.88,comun,,2,llana
mas,5.87,comun,,1,aguda
otro,5.87,comun,,2,llana
gran,5.84,comun,,1,aguda
menos,5.84,comun,,2,llana
nunca,5.84,comun,,2,llana
tanto,5.84,comun,,2,llana
antes,5.82,comun,,2,llana
poco,5.82,comun,,2,llana
tener,5.81,comun,verbo,2,aguda
trabajo,5.81,comun,,3,llana
durante,5.8,comun,,3,llana
lugar,5.8,comun,,2,aguda
cómo,5.79,comun,,2,llana
hecho,5.79,comun,,2,llana
aunque,5.78,comun,,2,llana
contra,5.78,comun,,2,llana
cuenta,5.78,comun,,2,llana
decir,5.78,comun,verbo,2,aguda
gobierno,5.78,comun,,3,llana
país,5.78,comun,,2,aguda
casa,5.77,comun,,2,llana
forma,5.77,comun,,2,llana
nuevo,5.77,comun,,2,llana
él,5.76,comun,,1,aguda
aquí,5.75,comun,,2,aguda
sí,5.75,comun,,1,aguda
estar,5.74,comun,verbo,2,aguda
hoy,5.74,comun,,1,aguda
alguien,5.73,comun,,2,llana
quien,5.72,comun,,1,aguda
tres,5.72,comun,,1,aguda
caso,5.71,comun,,2,llana
momento,5.71,comun,,3,llana
bueno,5.7,comun,,2,llana
ciudad,5.7,comun,,2,aguda
nuestro,5.7,comun,,2,llana
luego,5.69,comun,,2,llana
nacional,5.69,comun,,3,aguda
poder,5.68,comun,,2,aguda
pues,5.68,comun,,1,aguda
verdad,5.68,comun,,2,aguda
historia,5.67,comun,,3,llana
mientras,5.67,comun,,2,llana
nadie,5.67,comun,,2,llana
nueva,5.67,comun,,2,llana
primera,5.67,comun,,3,llana
cual,5.65,comun,,1,aguda
debe,5.65,comun,,2,llana
entonces,5.65,comun,,3,llana
ir,5.65,comun,verbo,1,aguda
tipo,5.65,comun,,2,llana
general,5.64,comun,,3,aguda
mayor,5.64,comun,,2,aguda
tal,5.64,comun,,1,aguda
además,5.63,comun,,3,aguda
mal,5.62,comun,,1,aguda
según,5.62,comun,,2,aguda
acuerdo,5.61,comun,,3,llana
dios,5.61,comun,,1,aguda
manera,5.61,comun,,3,llana
nombre,5.61,comun,,2,llana
ley,5.6,comun,,1,aguda
medio,5.6,comun,,2,llana
partido,5.6,comun,,3,llana
bajo,5.59,comun,,2,llana
hacia,5.59,comun,,2,llana
sino,5.59,comun,,2,llana
grupo,5.58,comun,,2,llana
haber,5.58,comun,verbo,2,aguda
hombre,5.58,comun,,2,llana
mujer,5.57,comun,,2,aguda
persona,5.56,comun,,3,llana
sistema,5.56,comun,,3,llana
casi,5.55,comun,,2,llana
fin,5.55,comun,,1,aguda
noche,5.55,comun,,2,llana
nosotros,5.55,comun,,3,llana
pasado,5.55,comun,,3,llana
presidente,5.55,comun,,4,llana
ahí,5.53,comun,,2,aguda
cosa,5.53,comun,,2,llana
dentro,5.53,comun,,2,llana
familia,5.53,comun,,3,llana
lado,5.53,comun,,2,llana
aún,5.52,comun,,2,aguda
pueblo,5.51,comun,,2,llana
final,5.5,comun,,2,aguda
política,5.5,comun,,4,esdrujula
problema,5.5,comun,,3,llana
punto,5.5,comun,,2,llana
agua,5.49,comun,,2,llana
equipo,5.49,comun,,3,llana
guerra,5.49,comun,,2,llana
saber,5.49,comun,,2,aguda
ante,5.48,comun,,2,llana
dar,5.48,comun,verbo,1,aguda
embargo,5.48,comun,,3,llana
favor,5.48,comun,,2,aguda
importante,5.48,comun,,4,llana
información,5.48,comun,,4,aguda
mañana,5.48,comun,,3,llana
pasa,5.48,comun,,2,llana
semana,5.48,comun,,3,llana
claro,5.47,comun,,2,llana
dinero,5.47,comun,,3,llana
san,5.47,comun,,1,aguda
social,5.47,comun,,2,aguda
ejemplo,5.46,comun,,3,llana
igual,5.46,comun,,2,aguda
número,5.46,comun,,3,esdrujula
ti,5.46,comun,,1,aguda
hablar,5.45,comun,verbo,2,aguda
hora,5.45,comun,,2,llana
madre,5.45,comun,,2,llana
señor,5.45,comun,,2,aguda
centro,5.44,comun,,2,llana
derecho,5.44,comun,,3,llana
falta,5.44,comun,,2,llana
cambio,5.43,comun,,2,llana
idea,5.43,comun,,3,llana
mierda,5.43,comun,,2,llana
muerte,5.43,comun,,2,llana
tarde,5.43,comun,,2,llana
través,5.43,comun,,2,aguda
tú,5.43,comun,,1,aguda
realidad,5.42,comun,,4,aguda
amor,5.41,comun,,2,aguda
dicho,5.41,comun,,2,llana
frente,5.41,comun,,2,llana
incluso,5.41,comun,,3,llana
primero,5.41,comun,,3,llana
real,5.41,comun,,2,aguda
cuatro,5.4,comun,,2,llana
desarrollo,5.4,comun,,4,llana
hijo,5.4,comun,,2,llana
sociedad,5.4,comun,,3,aguda
tema,5.4,comun,,2,llana
mí,5.39,comun,,1,aguda
nivel,5.39,comun,,2,aguda
seguro,5.39,comun,,3,llana
juego,5.38,comun,,2,llana
llegar,5.38,comun,verbo,2,aguda
mano,5.38,comun,,2,llana
paso,5.38,comun,,2,llana
posible,5.38,comun,,3,llana
proyecto,5.38,comun,,3,llana
uso,5.38,comun,,2,llana
artículo,5.37,comun,,4,esdrujula
cerca,5.37,comun,,2,llana
cierto,5.37,comun,,2,llana
grande,5.37,comun,,2,llana
quién,5.37,comun,,1,aguda
razón,5.37,comun,,2,aguda
todavía,5.37,comun,,4,llana
amigo,5.36,comun,,3,llana
i,5.36,comun,,1,aguda
mayoría,5.36,comun,,4,llana
padre,5.36,comun,,2,llana
salir,5.36,comun,verbo,2,aguda
seguridad,5.36,comun,,4,aguda
tierra,5.36,comun,,2,llana
único,5.36,comun,,3,esdrujula
cuerpo,5.35,comun,,2,llana
programa,5.35,comun,,3,llana
segundo,5.35,comun,,3,llana
universidad,5.35,comun,,5,aguda
último,5.35,comun,,3,esdrujula
cabeza,5.34,comun,,3,llana
foto,5.34,comun,,2,llana
haya,5.34,comun,,2,llana
internacional,5.34,comun,,5,aguda
mil,5.34,comun,,1,aguda
pasar,5.34,comun,verbo,2,aguda
público,5.34,comun,,3,esdrujula
seguir,5.34,comun,verbo,2,aguda
servicio,5.34,comun,,3,llana
situación,5.34,comun,,3,aguda
ayuda,5.33,comun,,3,llana
juan,5.33,comun,,1,aguda
libro,5.33,comun,,2,llana
siguiente,5.33,comun,,3,llana
dejar,5.32,comun,verbo,2,aguda
educación,5.32,comun,,4,aguda
proceso,5.32,comun,,3,llana
sentido,5.32,comun,,3,llana
cinco,5.31,comun,,2,llana
clase,5.31,comun,,2,llana
cuanto,5.31,comun,,2,llana
ello,5.31,comun,,2,llana
mes,5.31,comun,,1,aguda
usted,5.31,comun,,2,aguda
largo,5.3,comun,,2,llana
orden,5.3,comun,,2,llana
puesto,5.3,comun,,2,llana
alto,5.29,comun,,2,llana
demás,5.29,comun,,2,aguda
español,5.29,comun,,3,aguda
junto,5.29,comun,,2,llana
lista,5.29,comun,,2,llana
personal,5.29,comun,,3,aguda
total,5.29,comun,,2,aguda
trata,5.29,comun,,2,llana
video,5.29,comun,,3,llana
web,5.29,comun,,1,aguda
base,5.28,comun,,2,llana
camino,5.28,comun,,3,llana
empresa,5.28,comun,,3,llana
especial,5.28,comun,,3,aguda
hola,5.28,comun,,2,llana
paz,5.28,comun,,1,aguda
policía,5.28,comun,,4,llana
queda,5.28,comun,,2,llana
salud,5.28,comun,,2,aguda
sitio,5.28,comun,,2,llana
tomar,5.28,comun,verbo,2,aguda
zona,5.28,comun,,2,llana
calle,5.27,comun,,2,llana
cara,5.27,comun,,2,llana
línea,5.27,comun,,3,esdrujula
mundial,5.27,comun,,2,aguda
obra,5.27,comun,,2,llana
os,5.27,comun,,1,aguda
pensar,5.27,comun,verbo,2,aguda
allí,5.26,comun,,2,aguda
atención,5.26,comun,,3,aguda
escuela,5.26,comun,,3,llana
julio,5.26,comun,,2,llana
respecto,5.26,comun,,3,llana
ve,5.26,comun,,1,aguda
vivir,5.26,comun,verbo,2,aguda
capital,5.25,comun,,3,aguda
libre,5.25,comun,,2,llana
luz,5.25,comun,,1,aguda
población,5.25,comun,,3,aguda
relación,5.25,comun,,3,aguda
suerte,5.25,comun,,2,llana
bastante,5.24,comun,,3,llana
cultura,5.24,comun,,3,llana
difícil,5.24,comun,,3,llana
fuerte,5.24,comun,,2,llana
fácil,5.24,comun,,2,llana
habla,5.24,comun,,2,llana
miedo,5.24,comun,,2,llana
música,5.24,comun,,3,esdrujula
poner,5.24,comun,verbo,2,aguda
pregunta,5.24,comun,,3,llana
rey,5.24,comun,,1,aguda
vos,5.24,comun,,1,aguda
apoyo,5.23,comun,,3,llana
dado,5.23,comun,,2,llana
deja,5.23,comun,,2,llana
demasiado,5.23,comun,,4,llana
fuerza,5.23,comun,,2,llana
mayo,5.23,comun,,2,llana
oficial,5.23,comun,,3,aguda
propio,5.23,comun,,2,llana
chile,5.22,comun,,2,llana
control,5.22,comun,,2,aguda
encontrar,5.22,comun,verbo,3,aguda
inglés,5.22,comun,,2,aguda
marzo,5.22,comun,,2,llana
peor,5.22,comun,,2,aguda
serie,5.22,comun,,2,llana
sur,5.22,comun,,1,aguda
trabajar,5.22,comun,verbo,3,aguda
edad,5.21,comun,,2,aguda
futuro,5.21,comun,,3,llana
justicia,5.21,comun,,3,llana
libertad,5.21,comun,,3,aguda
pesar,5.21,comun,verbo,2,aguda
tampoco,5.21,comun,,3,llana
allá,5.2,comun,,2,aguda
cantidad,5.2,comun,,3,aguda
corazón,5.2,comun,,3,aguda
